Episode Number,Pitch Number,Investment Amount (In Lakhs INR) ,Debt (In lakhs INR),Equity,Anupam,Ashneer,Namita,Aman,Peyush,Vineeta,Ghazal,Season
1,1,75,0,18%,N,Y,N,Y,N,Y,N,1
1,2,40,0,50%,N,Y,N,N,N,Y,N,1
1,3,25,0,30%,Y,N,N,N,N,Y,N,1
2,4,70,0,2.75%,N,Y,N,N,N,N,N,1
2,5,0,0,0,N,N,N,N,N,N,N,1
2,6,0,0,0,N,N,N,N,N,N,N,1
3,7,0,0,0,N,N,N,N,N,N,N,1
3,8,75,0,6%,N,N,N,Y,N,N,N,1
3,9,20,30,15%,N,N,N,N,N,Y,N,1
4,10,50,0,25%,Y,N,N,N,N,Y,N,1
4,11,0,0,0,N,N,N,N,N,N,N,1
4,12,75,0,7.50%,N,N,Y,Y,N,N,N,1
5,13,10,0,1.50%,Y,N,N,Y,N,N,N,1
5,14,0,0,0,N,N,N,N,N,N,N,1
5,15,0,0,0,N,N,N,N,N,N,N,1
6,16,10,0,15%,Y,Y,Y,Y,N,Y,N,1
6,17,50,0,20%,N,N,Y,N,N,N,N,1
6,18,0,0,0,N,N,N,N,N,N,N,1
7,19,10,0,4%,N,Y,N,Y,N,N,N,1
7,20,0,0,0,N,N,N,N,N,N,N,1
7,21,0,0,0,N,N,N,N,N,N,N,1
8,22,50,0,2.50%,N,Y,N,Y,N,N,N,1
8,23,56,0,33.30%,Y,N,N,N,Y,N,N,1
8,24,30,0,6%,N,Y,N,N,N,N,N,1
9,25,50,0,7%,N,N,Y,Y,N,N,N,1
9,26,50,0,10%,N,N,N,Y,Y,N,N,1
9,27,0,0,0,N,N,N,N,N,N,N,1
10,28,25,0,20%,N,N,Y,Y,Y,N,N,1
10,29,30,0,20%,Y,N,N,Y,Y,N,N,1
10,30,30,0,3%,N,Y,N,Y,Y,N,N,1
11,31,0,0,0,N,N,N,N,N,N,N,1
11,32,50,0,15%,Y,N,N,N,N,N,N,1
11,33,30,0,20%,N,N,Y,Y,N,N,N,1
12,34,75,0,5%,N,N,Y,N,N,N,N,1
12,35,0,0,0,N,N,N,N,N,N,N,1
12,36,40,0,24%,Y,N,N,Y,Y,N,N,1
13,37,10,0,3%,Y,N,Y,N,Y,N,N,1
13,38,50,0,20%,Y,N,N,N,Y,N,N,1
13,39,10,0,10%,Y,Y,N,Y,Y,N,N,1
14,40,10,0,6%,N,N,Y,Y,N,N,N,1
14,41,0,0,0,N,N,N,N,N,N,N,1
14,42,0,0,0,N,N,N,N,N,N,N,1
15,43,10,0,40.00%,N,N,N,Y,N,N,N,1
15,44,25,25,25.00%,N,N,N,N,Y,N,N,1
15,45,5,0,5.00%,Y,N,Y,Y,N,N,N,1
16,46,50,30,3.50%,Y,Y,N,N,N,N,N,1
16,47,0,0,0,N,N,N,N,N,N,N,1
16,48,75,0,15.00%,N,N,Y,Y,N,N,N,1
16,49,45,0,12.00%,Y,N,N,Y,N,N,N,1
17,50,50,0,25.00%,Y,Y,Y,Y,Y,N,N,1
17,51,15,0,15.00%,N,Y,Y,N,Y,N,N,1
17,52,0,0,0,N,N,N,N,N,N,N,1
17,53,80,0,20.00%,N,N,N,N,Y,N,N,1
18,54,0,0,0,N,N,N,N,N,N,N,1
18,55,0,0,0,N,N,N,N,N,N,N,1
18,56,1,99,1.00%,N,Y,N,N,N,N,N,1
18,57,0,0,0,N,N,N,N,N,N,N,1
19,58,0,0,0,N,N,N,N,N,N,N,1
19,59,60,0,10.00%,N,Y,Y,Y,Y,N,N,1
19,60,0,0,0,N,N,N,N,N,N,N,1
19,61,0,0,0,N,N,N,N,N,N,N,1
20,62,40,25,3.00%,N,N,N,N,Y,N,N,1
20,63,0,0,0,N,N,N,N,N,N,N,1
20,64,10,0,10.00%,Y,Y,Y,Y,Y,N,N,1
21,65,10,0,15.00%,N,Y,N,Y,N,Y,N,1
21,66,25,22,75.00%,N,N,N,N,Y,N,N,1
21,67,35,0,24.00%,Y,N,N,N,N,Y,N,1
22,68,60,0,4.00%,Y,Y,N,N,Y,N,N,1
22,69,0,0,0,N,N,N,N,N,N,N,1
22,70,0,0,0,N,N,N,N,N,N,N,1
22,71,0,0,0,N,N,N,N,N,N,N,1
23,72,50,50,10.00%,N,N,N,Y,N,N,N,1
23,73,0,0,0,N,N,N,N,N,N,N,1
23,74,0,0,0,N,N,N,N,N,N,N,1
23,75,0,0,0,N,N,N,N,N,N,N,1
24,76,50,0,35.00%,Y,N,N,N,N,N,Y,1
24,77,10,20,40.00%,N,N,N,N,Y,N,N,1
24,78,0,0,0,N,N,N,N,N,N,N,1
25,79,50,0,15.00%,Y,N,N,N,N,N,N,1
25,80,10,0,6.00%,Y,N,Y,N,Y,Y,Y,1
25,81,0,0,0,N,N,N,N,N,N,N,1
26,82,50,0,50.00%,N,N,N,N,Y,N,N,1
26,83,0,0,0,N,N,N,N,N,N,N,1
26,84,65,0,30.00%,N,N,Y,N,N,N,N,1
27,85,0,0,0,N,N,N,N,N,N,N,1
27,86,10,0,4.00%,Y,N,Y,N,Y,N,Y,1
27,87,0,0,0,N,N,N,N,N,N,N,1
27,88,10,0,4.00%,N,N,N,N,Y,N,N,1
28,89,10,0,15.00%,N,N,N,N,Y,Y,Y,1
28,90,0,0,0,N,N,N,N,N,N,N,1
28,91,50,0,30.00%,N,N,N,N,Y,Y,Y,1
29,92,75,0,21.00%,N,N,Y,N,N,Y,Y,1
29,93,0,0,0,N,N,N,N,N,N,N,1
29,94,0,0,0,N,N,N,N,N,N,N,1
30,95,0,0,0,N,N,N,N,N,N,N,1
30,96,80,0,6.00%,N,N,Y,N,N,Y,N,1
30,97,0,0,0,N,N,N,N,N,N,N,1
30,98,0,0,0,N,N,N,N,N,N,N,1
31,99,0,0,0,N,N,N,N,N,N,N,1
31,100,0,0,0,N,N,N,N,N,N,N,1
31,101,75,0,2.68%,N,N,N,Y,N,N,N,1
31,102,0,0,0,N,N,N,N,N,N,N,1
32,103,0,0,0,N,N,N,N,N,N,N,1
32,104,0,0,0,N,N,N,N,N,N,N,1
32,105,50,0,2.00%,N,N,N,Y,N,N,N,1
32,106,0,0,0,N,N,N,N,N,N,N,1
33,107,40,0,25.00%,N,N,Y,N,N,N,N,1
33,108,0,0,0,N,N,N,N,N,N,N,1
33,109,60,0,10.00%,Y,Y,N,N,Y,N,N,1
33,110,10,0,10.00%,N,Y,N,N,Y,N,N,1
34,111,40,0,20.00%,N,Y,Y,N,N,Y,Y,1
34,112,0,0,0,N,N,N,N,N,N,N,1
34,113,0,0,0,N,N,N,N,N,N,N,1
34,114,0,0,0,N,N,N,N,N,N,N,1
35,115,40,0,30.00%,Y,Y,N,Y,N,Y,N,1
35,116,0,0,0,N,N,N,N,N,N,N,1
35,117,0,0,0,N,N,N,N,N,N,N,1
